"Any","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Població_16_64_anys","Pes_atur"
2016,11,1,"Ciutat Vella",3,"la Barceloneta",10802,10
2016,11,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",16757,"8.9"
2016,11,2,"Eixample",5,"el Fort Pienc",20956,"6.4"
2016,11,2,"Eixample",6,"la Sagrada Família",34076,"6.5"
2016,11,2,"Eixample",7,"la Dreta de l'Eixample",28742,"5.1"
2016,11,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",27813,"5.8"
2016,11,2,"Eixample",9,"la Nova Esquerra de l'Eixample",37901,"6.3"
2016,11,2,"Eixample",10,"Sant Antoni",25240,7
2016,11,3,"Sants-Montjuïc",11,"el Poble Sec",28202,"8.9"
2016,11,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",768,16
2016,11,3,"Sants-Montjuïc",13,"la Marina de Port",19856,"9.5"
2016,11,3,"Sants-Montjuïc",14,"la Font de la Guatlla",6865,"9.2"
2016,11,3,"Sants-Montjuïc",15,"Hostafrancs",11001,"7.1"
2016,11,3,"Sants-Montjuïc",16,"la Bordeta",12084,"7.6"
2016,11,3,"Sants-Montjuïc",17,"Sants - Badal",15916,"6.2"
2016,11,3,"Sants-Montjuïc",18,"Sants",27169,"6.9"
2016,11,4,"Les Corts",19,"les Corts",28488,"6.7"
2016,11,4,"Les Corts",20,"la Maternitat i Sant Ramon",14728,"6.6"
2016,11,4,"Les Corts",21,"Pedralbes",6950,"3.2"
2016,11,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",3002,"3.1"
2016,11,5,"Sarrià-Sant Gervasi",23,"Sarrià",14815,"3.3"
2016,11,5,"Sarrià-Sant Gervasi",24,"les Tres Torres",9862,"3.7"
2016,11,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",15679,"4.1"
2016,11,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",29005,4
2016,11,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",18723,"5.7"
2016,11,6,"Gràcia",28,"Vallcarca i els Penitents",9644,7
2016,11,6,"Gràcia",29,"el Coll",4844,"5.9"
2016,11,6,"Gràcia",30,"la Salut",8181,"6.8"
2016,11,6,"Gràcia",31,"la Vila de Gràcia",34554,"6.4"
2016,11,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",21992,"6.5"
2016,11,7,"Horta-Guinardó",33,"el Baix Guinardó",16328,"6.8"
2016,11,7,"Horta-Guinardó",34,"Can Baró",5755,"6.9"
2016,11,7,"Horta-Guinardó",35,"el Guinardó",23144,"7.8"
2016,11,7,"Horta-Guinardó",36,"la Font d'en Fargues",5746,"9.5"
2016,11,7,"Horta-Guinardó",37,"el Carmel",19883,"9.4"
2016,11,7,"Horta-Guinardó",38,"la Teixonera",7287,"7.7"
2016,11,7,"Horta-Guinardó",39,"Sant Genís dels Agudells",4083,"8.3"
2016,11,7,"Horta-Guinardó",40,"Montbau",2900,"8.4"
2016,11,7,"Horta-Guinardó",41,"la Vall d'Hebron",3442,"7.6"
2016,11,7,"Horta-Guinardó",42,"la Clota",411,"4.4"
2016,11,7,"Horta-Guinardó",43,"Horta",16273,"9.5"
2016,11,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",15927,9
2016,11,8,"Nou Barris",45,"Porta",15116,"9.4"
2016,11,8,"Nou Barris",46,"el Turó de la Peira",9561,"9.2"
2016,11,8,"Nou Barris",47,"Can Peguera",1382,"8.9"
2016,11,8,"Nou Barris",48,"la Guineueta",8691,"11.6"
2016,11,8,"Nou Barris",49,"Canyelles",4297,"11.4"
2016,11,8,"Nou Barris",50,"les Roquetes",10145,"10.5"
2016,11,8,"Nou Barris",51,"Verdun",7733,"10.6"
2016,11,8,"Nou Barris",52,"la Prosperitat",15863,"10.1"
2016,11,8,"Nou Barris",53,"la Trinitat Nova",4717,"15.1"
2016,11,8,"Nou Barris",54,"Torre Baró",1871,"10.5"
2016,11,8,"Nou Barris",55,"Ciutat Meridiana",6463,"15.9"
2016,11,8,"Nou Barris",56,"Vallbona",846,"14.1"
2016,11,9,"Sant Andreu",57,"la Trinitat Vella",6733,"14.1"
2016,11,9,"Sant Andreu",58,"Baró de Viver",1653,8
2016,11,9,"Sant Andreu",59,"el Bon Pastor",7990,"9.4"
2016,11,9,"Sant Andreu",60,"Sant Andreu",36349,"8.4"
2016,11,9,"Sant Andreu",61,"la Sagrera",18434,"7.8"
2016,11,9,"Sant Andreu",62,"el Congrés i els Indians",8807,"7.9"
2016,11,9,"Sant Andreu",63,"Navas",13939,"7.7"
2016,11,10,"Sant Martí",64,"el Camp de l'Arpa del Clot",24890,"8.2"
2016,11,10,"Sant Martí",65,"el Clot",18072,"7.7"
2016,11,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",10160,"6.6"
2016,11,10,"Sant Martí",67,"la Vila Olímpica del Poblenou",6512,"6.8"
2016,11,10,"Sant Martí",68,"el Poblenou",22384,"6.8"
2016,11,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",8657,"8.2"
2016,11,10,"Sant Martí",70,"el Besòs i el Maresme",14986,"10.9"
2016,11,10,"Sant Martí",71,"Provençals del Poblenou",13815,8
2016,11,10,"Sant Martí",72,"Sant Martí de Provençals",15889,"9.7"
2016,11,10,"Sant Martí",73,"la Verneda i la Pau",17329,"10.1"
2016,12,1,"Ciutat Vella",1,"el Raval",35173,"10.1"
2016,12,1,"Ciutat Vella",2,"el Barri Gòtic",12088,"7.5"
2016,12,1,"Ciutat Vella",3,"la Barceloneta",10802,"9.9"
2016,12,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",16757,"8.8"
2016,12,2,"Eixample",5,"el Fort Pienc",20956,"6.4"
2016,12,2,"Eixample",6,"la Sagrada Família",34076,"6.5"
2016,12,2,"Eixample",7,"la Dreta de l'Eixample",28742,5
2016,12,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",27813,"5.7"
2016,12,2,"Eixample",9,"la Nova Esquerra de l'Eixample",37901,"6.2"
2016,12,2,"Eixample",10,"Sant Antoni",25240,"6.8"
2016,12,3,"Sants-Montjuïc",11,"el Poble Sec",28202,"8.8"
2016,12,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",768,"16.3"
2016,12,3,"Sants-Montjuïc",13,"la Marina de Port",19856,"9.1"
2016,12,3,"Sants-Montjuïc",14,"la Font de la Guatlla",6865,"9.1"
2016,12,3,"Sants-Montjuïc",15,"Hostafrancs",11001,"7.1"
2016,12,3,"Sants-Montjuïc",16,"la Bordeta",12084,"7.5"
2016,12,3,"Sants-Montjuïc",17,"Sants - Badal",15916,"6.1"
2016,12,3,"Sants-Montjuïc",18,"Sants",27169,"6.9"
2016,12,4,"Les Corts",19,"les Corts",28488,"6.6"
2016,12,4,"Les Corts",20,"la Maternitat i Sant Ramon",14728,"6.6"
2016,12,4,"Les Corts",21,"Pedralbes",6950,"3.2"
2016,12,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",3002,3
2016,12,5,"Sarrià-Sant Gervasi",23,"Sarrià",14815,"3.2"
2016,12,5,"Sarrià-Sant Gervasi",24,"les Tres Torres",9862,"3.6"
2016,12,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",15679,4
2016,12,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",29005,4
2016,12,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",18723,"5.6"
2016,12,6,"Gràcia",28,"Vallcarca i els Penitents",9644,"6.9"
2016,12,6,"Gràcia",29,"el Coll",4844,"5.8"
2016,12,6,"Gràcia",30,"la Salut",8181,"6.7"
2016,12,6,"Gràcia",31,"la Vila de Gràcia",34554,"6.4"
2016,12,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",21992,"6.4"
2016,12,7,"Horta-Guinardó",33,"el Baix Guinardó",16328,"6.7"
2016,12,7,"Horta-Guinardó",34,"Can Baró",5755,"6.7"
2016,12,7,"Horta-Guinardó",35,"el Guinardó",23144,"7.7"
2016,12,7,"Horta-Guinardó",36,"la Font d'en Fargues",5746,"9.3"
2016,12,7,"Horta-Guinardó",37,"el Carmel",19883,"9.2"
2016,12,7,"Horta-Guinardó",38,"la Teixonera",7287,"7.6"
2016,12,7,"Horta-Guinardó",39,"Sant Genís dels Agudells",4083,"8.2"
2016,12,7,"Horta-Guinardó",40,"Montbau",2900,"8.4"
2016,12,7,"Horta-Guinardó",41,"la Vall d'Hebron",3442,"7.5"
2016,12,7,"Horta-Guinardó",42,"la Clota",411,"4.4"
2016,12,7,"Horta-Guinardó",43,"Horta",16273,"9.2"
2016,12,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",15927,"8.8"
2016,12,8,"Nou Barris",45,"Porta",15116,"9.2"
2016,12,8,"Nou Barris",46,"el Turó de la Peira",9561,9
2016,12,8,"Nou Barris",47,"Can Peguera",1382,"8.8"
2016,12,8,"Nou Barris",48,"la Guineueta",8691,"11.5"
2016,12,8,"Nou Barris",49,"Canyelles",4297,"11.3"
2016,12,8,"Nou Barris",50,"les Roquetes",10145,"10.4"
2016,12,8,"Nou Barris",51,"Verdun",7733,"10.5"
2016,12,8,"Nou Barris",52,"la Prosperitat",15863,"9.8"
2016,12,8,"Nou Barris",53,"la Trinitat Nova",4717,"14.7"
2016,12,8,"Nou Barris",54,"Torre Baró",1871,"10.3"
2016,12,8,"Nou Barris",55,"Ciutat Meridiana",6463,"15.5"
2016,12,8,"Nou Barris",56,"Vallbona",846,"13.7"
2016,12,9,"Sant Andreu",57,"la Trinitat Vella",6733,"13.8"
2016,12,9,"Sant Andreu",58,"Baró de Viver",1653,"7.8"
2016,12,9,"Sant Andreu",59,"el Bon Pastor",7990,"9.1"
2016,12,9,"Sant Andreu",60,"Sant Andreu",36349,"8.1"
2016,12,9,"Sant Andreu",61,"la Sagrera",18434,"7.5"
2016,12,9,"Sant Andreu",62,"el Congrés i els Indians",8807,"7.6"
2016,12,9,"Sant Andreu",63,"Navas",13939,"7.5"
2016,12,10,"Sant Martí",64,"el Camp de l'Arpa del Clot",24890,8
2016,12,10,"Sant Martí",65,"el Clot",18072,"7.5"
2016,12,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",10160,"6.5"
2016,12,10,"Sant Martí",67,"la Vila Olímpica del Poblenou",6512,"6.9"
2016,12,10,"Sant Martí",68,"el Poblenou",22384,"6.8"
2016,12,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",8657,"8.2"
2016,12,10,"Sant Martí",70,"el Besòs i el Maresme",14986,"10.8"
2016,12,10,"Sant Martí",71,"Provençals del Poblenou",13815,"7.8"
2016,12,10,"Sant Martí",72,"Sant Martí de Provençals",15889,"9.5"
2016,12,10,"Sant Martí",73,"la Verneda i la Pau",17329,"9.8"
